video,label,frame_idx,angle_elbow_L,angle_elbow_R,angle_shoulder_L,angle_shoulder_R,angle_hip_L,angle_hip_R,angle_knee_L,angle_knee_R
bicep_curl_01.mp4,bicep_curl,0,35.26128709370254,98.42879259563769,179.309594958749,175.7758958676181,157.39279201571327,166.5059526028869,29.81096860609484,17.640960779962786
bicep_curl_01.mp4,bicep_curl,2,36.25947254810757,87.20930914805274,175.77195673060493,175.92830472113235,160.17703741250116,165.95833257031956,29.07671549655231,7.670944646018745
bicep_curl_01.mp4,bicep_curl,4,29.018350077586625,80.05393503052355,174.38486469851952,176.07185059568616,161.81020095108644,165.94914423687572,28.31383297128115,5.634299257209206
bicep_curl_01.mp4,bicep_curl,6,22.409932189748286,98.1990953876613,173.93796104784147,174.49035148318424,162.63553923362323,165.53726833795008,25.682644341456694,2.9575070955847593
bicep_curl_01.mp4,bicep_curl,8,20.545215867225696,64.51534245717339,173.74714908492595,173.92016865652295,163.213652552594,164.92121438394082,17.703284644819032,3.684827132716969
bicep_curl_01.mp4,bicep_curl,10,18.530088636066985,58.230325712006724,173.795749659259,173.38986213779955,163.41842100178667,164.26540200977283,14.693202377136368,8.9594268734983
bicep_curl_01.mp4,bicep_curl,12,13.381803758278576,59.45621984544249,173.5858295740205,172.1028525880932,163.76097791293722,164.19125872220383,14.055145387706546,18.395171876301934
bicep_curl_01.mp4,bicep_curl,14,5.228434164324677,63.40416849535692,174.50602404195877,172.4127608907823,163.9775760512511,164.31255754097302,16.420402192062532,17.719011988161864
bicep_curl_01.mp4,bicep_curl,16,5.791090028706932,62.7405883922094,174.68761642189583,172.5561585017104,164.437768807018,164.40922964321618,18.923290853597862,8.051081353058965
bicep_curl_01.mp4,bicep_curl,18,6.514634124324917,62.0961533247982,174.07434024439036,173.98500108089772,164.2799035047235,164.73446211513354,22.637287867326705,2.8549906536089122
bicep_curl_01.mp4,bicep_curl,20,17.493551356163074,69.73097804509675,169.7431826072045,175.082071250773,164.39646457067855,164.9486227996258,20.496885493492083,5.531232290587909
bicep_curl_01.mp4,bicep_curl,22,22.20906190464985,80.82002953757318,169.25737134165675,176.61881208814867,164.3302875926842,164.6431812396695,23.965513692688695,7.244648412350908
bicep_curl_01.mp4,bicep_curl,24,34.38595177130221,93.37117892811146,168.64967289161362,176.01753844755822,164.76831339308967,164.35239223361827,26.279331630293978,14.506055890730838
bicep_curl_01.mp4,bicep_curl,26,43.005968707797564,98.64430957724595,168.2931375859763,175.27067805191024,165.0473209116764,163.70415336559552,25.4183722428487,16.464621171845046
bicep_curl_01.mp4,bicep_curl,28,72.89076718991078,109.37191851906097,168.09023914277867,176.69050359805294,165.28696452887573,164.183576087734,18.94446700779927,18.069027796681105
bicep_curl_01.mp4,bicep_curl,30,102.95068558471186,127.22668156965132,170.41964832978584,178.6415967800104,165.3286524003062,165.2582300775335,20.011630086195904,25.615590379280004
bicep_curl_01.mp4,bicep_curl,32,102.8227849806738,130.42292144716743,171.57904177392558,179.58128583262,165.323421604199,166.56732422120822,22.501860372332793,22.447195295261857
bicep_curl_01.mp4,bicep_curl,34,99.08661344499623,128.58979393736007,171.64482608575895,179.29890767729054,165.3560495013575,167.58614314182114,30.034080531711062,19.654224795204843
bicep_curl_01.mp4,bicep_curl,36,115.40386043436231,131.2047008265828,172.55494602514955,179.6596512371345,165.3137736817513,168.34635880530706,32.16085644315415,17.762620867941347
bicep_curl_01.mp4,bicep_curl,38,125.59525064429684,130.2169343931784,172.8077251289869,179.5134172879403,165.25884744644202,168.47954065231664,33.65001297694745,15.660061975585693
bicep_curl_01.mp4,bicep_curl,40,125.63570531614124,132.35542126712375,173.35338251253313,178.5463963887936,165.19573818534613,168.35875801937863,35.31118969261223,11.058948276245184
bicep_curl_01.mp4,bicep_curl,42,124.91697453656492,131.76504560436746,173.9348250406901,177.96673441000803,165.22855906926222,168.38347688198922,35.86653615911735,8.662813933234183
bicep_curl_01.mp4,bicep_curl,44,126.28553049535643,136.65911434431086,174.1314455649299,177.75092447198895,164.9983873018503,168.68963565000652,36.21360056670189,6.1302142410852145
bicep_curl_01.mp4,bicep_curl,46,126.84477692439407,134.73503186231125,174.63571282354312,177.71775223689275,164.73549980620487,168.63221220904902,36.239881983482825,3.777972027019865
bicep_curl_01.mp4,bicep_curl,48,125.6888652328683,135.68646388665374,174.20863921121995,178.23076453379954,165.0681151114452,169.05603117298625,36.84449777170474,3.3887648490890485
bicep_curl_01.mp4,bicep_curl,50,126.70569854997734,137.4376326451546,173.1076691861389,178.68537544133312,165.4660069476052,169.50787433499116,37.88673389504426,2.6831419686921394
bicep_curl_01.mp4,bicep_curl,52,129.59036517363674,139.68650969320802,173.1471393279789,178.33540117008533,165.77108513625276,169.4488324874647,37.13865034181948,1.9089560643851076
bicep_curl_01.mp4,bicep_curl,54,131.05913249729252,139.88885894163366,173.27964302480876,178.14258966455347,165.79580968274664,168.99638003968488,36.5649894374978,1.8081853253669948
bicep_curl_01.mp4,bicep_curl,56,132.999062368395,123.69680723903116,173.48587760159458,177.79841796921284,165.4346182471928,168.1913922710647,35.47159623697224,3.733919189638108
bicep_curl_01.mp4,bicep_curl,58,133.32665638642416,122.3746030408208,174.14378329858332,177.26870343040758,164.0041745920449,167.93069059479177,35.288672844260155,10.528483474363407
bicep_curl_01.mp4,bicep_curl,60,132.3341434865597,121.56478732323203,174.36368360230708,176.48319598823855,163.3306308668775,167.5603543274214,35.56493839619803,9.883697709550324
bicep_curl_01.mp4,bicep_curl,62,129.3380443872063,127.42598412650217,175.1979213796112,174.76830641126762,162.81280745670722,166.6015617144665,36.03085105207427,10.589313494186072
bicep_curl_01.mp4,bicep_curl,64,119.92502855325996,125.66115645915748,175.73529004549968,173.39045551121703,162.45513580477734,165.51581566471285,36.7122166853863,8.35672492244131
bicep_curl_01.mp4,bicep_curl,66,104.52720217251736,124.06004785580821,176.19717933153444,175.01280485763968,162.0828538562313,165.44486089119226,35.35417340875306,10.415294016882273
bicep_curl_01.mp4,bicep_curl,68,85.20371070440402,114.61248269426365,176.15926410085518,176.1509626225774,162.44318786247982,165.2688496614951,33.42452158728421,7.447135813521355
bicep_curl_01.mp4,bicep_curl,70,78.06300296937019,108.37957968405627,175.6679907383584,174.7875927089009,162.86652593080288,163.89623949506824,28.9645037846725,9.535370624404516
bicep_curl_01.mp4,bicep_curl,72,56.71892996585158,100.69767345716154,172.40094974879815,174.68496131099306,162.73106681681085,163.92522288313916,24.998880830672032,13.586946640544928
bicep_curl_01.mp4,bicep_curl,74,39.261973915350815,100.54048943137376,170.66183800994293,173.946504357177,162.74773264996395,163.97554701684433,24.372220632924716,24.801675832755915
bicep_curl_01.mp4,bicep_curl,76,30.234105239135786,88.00500579493904,171.45529890402037,172.5039625049359,162.85037356320586,163.87092062508074,24.313304901669227,23.29528824785531
bicep_curl_01.mp4,bicep_curl,78,24.88362944613682,81.00389092253641,172.82132197410246,171.20187503860788,162.89620412758924,163.81461481969856,24.4247268242624,20.558504436178154
bicep_curl_01.mp4,bicep_curl,80,19.46667057588403,77.9383946919898,175.32324271715547,170.1492045204594,162.92116410258419,164.2360483400077,24.63174269442553,19.03833780839417
bicep_curl_01.mp4,bicep_curl,82,15.094583110805011,70.83632031539287,176.3897895694232,169.16676408083163,163.25609718796832,164.608813710897,24.237455937014527,22.020993032723027
bicep_curl_01.mp4,bicep_curl,84,12.504906033258735,82.07245736205674,176.90035353668873,168.9216268754946,163.37873730281487,165.61357507782654,25.083429349575095,34.03568263333818
bicep_curl_01.mp4,bicep_curl,86,12.849868780480978,82.89424639863955,177.1082212412416,167.79635506738626,163.42429772353603,166.14388055277155,25.811747801319445,46.53031408383607
bicep_curl_01.mp4,bicep_curl,88,13.542624392019409,85.41820682987905,177.12335638707185,167.9404451350949,163.56351357248258,166.70711033016252,25.690925006248573,33.5701354729273
bicep_curl_01.mp4,bicep_curl,90,13.403757643193359,86.020367218739,176.1672258872781,169.45500747284927,164.276387175542,167.51586744924384,25.843346118654996,27.55532511254651
bicep_curl_01.mp4,bicep_curl,92,19.085498126630114,87.58064794642075,173.04638526402354,171.28160836620748,164.860919113233,168.68110646498135,24.23385357413798,28.68235611979169
bicep_curl_01.mp4,bicep_curl,94,26.888598249855622,96.55456914270837,171.2937380197532,172.99531685278228,165.08126846885497,168.69487815545372,24.111498678310735,32.57433733198994
bicep_curl_01.mp4,bicep_curl,96,40.367813743257344,109.24215717558224,169.67082192686624,173.25180152454655,165.62003666054667,168.61503745553512,24.612373342781602,35.428047122218395
bicep_curl_01.mp4,bicep_curl,98,53.43444671777146,109.14174804104333,169.9495746139706,173.3738906481213,165.84257889182192,168.72755420033485,21.619704486891294,31.277704234901393
bicep_curl_01.mp4,bicep_curl,100,79.15450350995685,118.98328073778815,170.09934555228594,173.4541360445664,166.2263023870849,168.76710668249507,16.62801886738551,29.158092320003767
bicep_curl_01.mp4,bicep_curl,102,95.95563322550558,117.19029305698032,171.04669335779442,173.78728664714419,166.13489948784894,168.7872331273652,18.423569338778762,21.188511485243335
bicep_curl_01.mp4,bicep_curl,104,110.64430195100002,111.77527995504285,172.20255399106767,175.25248774907715,166.18129176465283,169.07077354966373,21.58335033793725,12.317551964251045
bicep_curl_01.mp4,bicep_curl,106,110.73520556369404,113.33835895183546,173.0959827323468,175.98721583447985,166.18234985933685,169.2793427698197,24.650221657861223,11.05114751663828
bicep_curl_01.mp4,bicep_curl,108,130.12851594051574,111.84450352983266,173.36238768446717,176.0890370270298,166.14323885887293,169.39499475023706,28.654899719406554,8.15583988961995
bicep_curl_01.mp4,bicep_curl,110,130.83795333424163,111.62610790188424,173.49217209432587,176.26304048979932,166.13106645277958,169.41869908890152,32.47292888472499,5.706399883385111
bicep_curl_01.mp4,bicep_curl,112,125.69734248318775,114.21065704985482,173.68912786470526,175.99253874092724,165.96410467386414,169.15528656956425,34.5531259347911,4.824260667544153
bicep_curl_01.mp4,bicep_curl,114,123.69451681637862,117.73941982334598,173.64855854136593,175.82612842549563,165.9305323399724,168.89749941895923,35.73053064274448,5.754965812001392
bicep_curl_01.mp4,bicep_curl,116,123.36607738193685,119.64285460810646,174.22901531135471,174.99198829886285,165.79157932733352,168.57802213314383,36.23213448984899,5.2189816173130765
